Player,height,weight,college,born,birth_city,birth_state
Wayne Embry*,203,108,Miami University,1937,Springfield,Ohio
Mike Farmer,201,95,University of San Francisco,1936,Oklahoma City,Oklahoma
Dave Gambee,198,97,Oregon State University,1937,Portland,Oregon
Hal Greer*,188,79,Marshall University,1936,Huntington,West Virginia
Steve Hamilton,198,86,Morehead State University,1935,Columbia,Kentucky
Vern Hatton,190,88,University of Kentucky,1936,Owingsville,Kentucky
Andy Johnson,196,97,University of Portland,1932,Los Angeles,California
K.C. Jones*,196,97,,1932,,
Tommy Kearns,180,83,University of North Carolina,1936,New York,New York
Shellie McMillon,196,92,Bradley University,1936,,
Jim Palmer,203,101,University of Dayton,1933,Keokee,Virginia
Jack Parr,206,99,Kansas State University,1936,Louisville,Kentucky
Hub Reed,206,97,Oklahoma City University,1936,Harrah,Oklahoma
Guy Rodgers*,183,83,Temple University,1935,Philadelphia,Pennsylvania
Phil Rollins,188,83,University of Louisville,1934,Wickliffe,Kentucky
Larry Staverman,201,92,Thomas More College,1936,,
Bennie Swain,203,99,Texas Southern University,1933,,
Gary Alcorn,206,102,"California State University, Fresno",1936,,
Bob Anderegg,190,90,Michigan State University,1937,Monroe,Wisconsin
Dick Barnett,193,86,Tennessee State University,1936,Gary,Indiana
Whitey Bell,183,81,North Carolina State University,1932,Monticello,Kentucky
Wilt Chamberlain*,216,124,University of Kansas,1936,Philadelphia,Pennsylvania
Bob Ferry,203,104,Saint Louis University,1937,St. Louis,Missouri
Johnny Green,196,90,Michigan State University,1933,Dayton,Ohio
Gene Guarilia,196,99,George Washington University,1937,Duryea,Pennsylvania
Tom Hawkins,196,95,University of Notre Dame,1936,Chicago,Illinois
Bailey Howell*,201,95,Mississippi State University,1937,Middleton,Tennessee
Maury King,188,88,University of Kansas,1935,,
Rudy LaRusso,201,99,Dartmouth College,1937,Brooklyn,New York
Nick Mantis,190,86,Northwestern University,1935,,
Cal Ramsey,193,90,New York University,1937,Selma,Alabama
John Richter,206,102,North Carolina State University,1937,,
Joe Ruklick,206,99,Northwestern University,1938,Princeton,Illinois
Bobby Smith,193,86,West Virginia University,1937,,
Wayne Stevens,190,83,University of Cincinnati,1936,,
Tony Windis,185,72,University of Wyoming,1933,,
Al Attles,183,79,North Carolina Agricultural and Technical State University,1936,Newark,New Jersey
Bob Boozer,203,97,Kansas State University,1937,Omaha,Nebraska
Dave Budd,198,92,Wake Forest University,1938,Woodbury,New Jersey
Ralph Davis,193,81,University of Cincinnati,1938,Vanceburg,Kentucky
Swede Halbrook,221,106,Oregon State University,1933,,
Darrall Imhoff,208,99,University of California,1938,San Gabriel,California
Ron Johnson,203,97,University of Minnesota,1938,,
Howie Jolliff,203,97,,1938,,
Willie Jones,190,83,Northwestern University,1936,,
Pickles Kennedy,180,81,Temple University,1938,Philadelphia,Pennsylvania
Fred LaCour,196,95,University of San Francisco,1938,,
George Lee,193,90,University of Michigan,1936,,
Bob McNeill,185,77,Saint Joseph's University,1938,Philadelphia,Pennsylvania
Jackie Moreland,201,97,Louisiana Tech University,1938,Minden,Louisiana
Don Ohl,190,86,University of Illinois at Urbana-Champaign,1936,Murphysboro,Illinois
Joe Roberts,198,97,Ohio State University,1936,,
Oscar Robertson*,196,92,University of Cincinnati,1938,Charlotte,Tennessee
Tom Sanders*,198,95,New York University,1938,New York,New York
Jerry West*,188,79,West Virginia University,1938,Chelyan,West Virginia
Lenny Wilkens*,185,81,Providence College,1937,Brooklyn,New York
Stacey Arceneaux,193,95,Iowa State University,1936,,
Walt Bellamy*,211,102,Indiana University,1939,New Bern,North Carolina
George Blaney,185,79,College of the Holy Cross,1939,Jersey City,New Jersey
George Bon,185,79,,1939,,
Joe Buckhalter,201,95,Tennessee State University,1937,,
Cleveland Buckner,206,95,Jackson State University,1938,Yazoo City,Mississippi
Ed Burton,198,102,Michigan State University,1939,,
Donnie Butcher,188,90,Pikeville College,1936,Williamsport,Kentucky
Al Butler,188,79,Niagara University,1938,Rochester,New York
Howie Carl,175,72,DePaul University,1938,Chicago,Illinois
Jimmy Darrow,178,77,Bowling Green State University,1937,Akron,Ohio
Johnny Egan,180,81,Providence College,1939,Hartford,Connecticut
Rich Eichhorst,180,81,,1939,,
Cleo Hill,185,83,Winston-Salem State University,1938,Newark,New Jersey
Ron Horn,201,99,Indiana University,1938,Marion,Indiana
Doug Kistler,206,95,Duke University,1938,,
York Larese,193,83,University of North Carolina,1938,New York,New York
Ted Luckenbill,198,92,University of Houston,1939,,
Whitey Martin,188,83,St. Bonaventure University,1939,,
Tom Meschery,198,97,Saint Mary's College of California,1938,Harbin Manchuria,China
Paul Neumann,185,79,Stanford University,1938,,
Bevo Nordmann,208,102,Saint Louis University,1939,St. Louis,Missouri
Chuck Osborne,198,95,Western Kentucky University,1939,,
Gary Phillips,190,85,University of Houston,1939,Quincy,Illinois
Frank Radovich,203,106,Indiana University,1938,,
Ray Scott,206,97,University of Portland,1938,Philadelphia,Pennsylvania
Lee Shaffer,201,99,University of North Carolina,1939,Chicago,Illinois
Bob Sims,196,99,Pepperdine University,1938,,
Adrian Smith,185,81,University of Kentucky,1936,Farmington,Kentucky
Bill Smith,196,86,Saint Peter's College,1939,,
Sam Stith,188,83,St. Bonaventure University,1937,Greenville County,Virginia
Horace Walker,190,95,Michigan State University,1937,Chester,Pennsylvania
Bob Wiesenhahn,193,97,University of Cincinnati,1938,,
Wayne Yates,203,106,University of Memphis,1937,,
Dave Zeller,185,79,Miami University,1939,,
John Barnhill,185,81,Tennessee State University,1938,Sturgis,Kentucky
Zelmo Beaty*,206,102,Prairie View A&M University,1939,Hillister,Texas
Bill Bridges,198,103,University of Kansas,1939,Hobbs,New Mexico
Len Chappell,203,108,Wake Forest University,1941,Portage,Pennsylvania
Johnny Cox,193,81,University of Kentucky,1936,Neon,Kentucky
Dave DeBusschere*,198,99,University of Detroit Mercy,1940,Detroit,Michigan
Terry Dischinger,201,85,Purdue University,1940,Terre Haute,Indiana
Danny Doyle,203,90,Belmont Abbey College,1940,Long Island City,New York
Bob Duffy,193,79,Tulane University,1922,,
Leroy Ellis,208,95,St. John's University,1940,Far Rockaway,New York
Dave Fedor,198,86,Florida State University,1940,,
Jack Foley,190,77,College of the Holy Cross,1939,Worcester,Massachusetts
Dave Gunther,201,86,University of Iowa,1937,,
Charlie Hardnett,203,102,Grambling State University,1938,Atlanta,Georgia
John Havlicek*,196,92,Ohio State University,1940,Martins Ferry,Ohio
Wayne Hightower,203,87,University of Kansas,1940,Philadelphia,Pennsylvania
Paul Hogue,203,87,,1940,,
Kevin Loughery,190,86,St. John's University,1940,Brooklyn,New York
Bill McGill,206,102,University of Utah,1939,San Angelo,Texas
Porter Meriwether,188,81,Tennessee State University,1940,,
Howie Montgomery,196,99,University of Texas-Pan American,1940,,
Don Nelson*,198,95,University of Iowa,1940,Muskegon,Michigan
Mel Nowell,188,77,Ohio State University,1939,,
Bud Olsen,203,99,University of Louisville,1940,,
John Rudometkin,198,92,University of Southern California,1940,Santa Maria,California
Jeff Slade,198,99,Kenyon College,1941,,
Tom Stith,196,95,St. Bonaventure University,1939,Greenville County,Virginia
Dan Swartz,193,97,Morehead State University,1934,Owingsville,Kentucky
Dan Tieman,183,83,Thomas More College,1940,Covington,Kentucky
Gene Tormohlen,183,83,,1940,,
Chico Vaughn,188,86,Southern Illinois University,1940,Portland,Oregon
Chet Walker*,198,96,Bradley University,1940,Bethlehem,Mississippi
Ben Warley,196,90,Tennessee State University,1936,Washington,District of Columbia
Ralph Wells,185,81,Northwestern University,1940,,
Hubie White,193,92,Villanova University,1940,,
Gene Wiley,208,95,Wichita State University,1937,,
Jay Arnette,188,79,University of Texas at Austin,1938,Austin,Texas
Larry Comley,196,95,Kansas State University,1939,,
Mel Gibson,190,81,Western Carolina University,1940,Cordova,North Carolina
Jerry Greenspan,196,88,University of Maryland,1941,,
Reggie Harding,213,112,,1942,,
Jerry Harkness,188,79,Loyola University of Chicago,1940,New York,New York
Art Heyman,196,92,Duke University,1941,New York,New York
Gary Hill,193,83,Oklahoma City University,1941,,
Tom Hoover,206,104,Villanova University,1941,Washington,District of Columbia
Gus Johnson*,198,104,University of Idaho,1938,Akron,Ohio
Jim King,188,79,University of Tulsa,1941,Tulsa,Oklahoma
Don Kojis,196,97,Marquette University,1939,Milwaukee,Wisconsin
Jerry Lucas*,203,104,Ohio State University,1940,Middletown,Ohio
Eddie Miles,193,88,Seattle University,1940,North Little Rock,Arkansas
Mel Peterson,193,83,Wheaton College,1938,Thief River Falls,Minnesota
Ken Rohloff,183,88,North Carolina State University,1939,,
Larry Siegfried,190,86,Ohio State University,1939,Shelby,Ohio
Roger Strickland,196,90,Jacksonville University,1940,Jacksonville,Florida
Tom Thacker,188,77,University of Cincinnati,1939,Covington,Kentucky
Rod Thorn,193,88,West Virginia University,1941,Princeton,West Virginia
Nate Thurmond*,211,102,Bowling Green State University,1941,Akron,Ohio
Gerry Ward,193,88,Boston College,1941,,
John Windsor,203,97,Stanford University,1940,,
Jim Barnes,203,95,University of Texas at El Paso,1941,Tuckerman,Arkansas
Ron Bonham,196,87,University of Cincinnati,1942,Muncie,Indiana
Gary Bradds,203,95,Ohio State University,1942,Jamestown,Ohio
Em Bryant,185,79,DePaul University,1938,Chicago,Illinois
Joe Caldwell,196,88,Arizona State University,1941,Texas City,Texas
Mel Counts,213,104,Oregon State University,1941,Coos Bay,Oregon
Steve Courtin,185,85,Saint Joseph's University,1942,,
Jerry Grote,193,97,Loyola Marymount University,1940,,
Happy Hairston,201,102,New York University,1942,Winston-Salem,North Carolina
Walt Hazzard,201,102,,1942,,
Les Hunter,201,95,Loyola University of Chicago,1942,Nashville,Tennessee
Luke Jackson,206,108,University of Texas-Pan American,1941,San Marcos,Texas
Larry Jones,188,81,University of Toledo,1942,Columbus,Ohio
Wali Jones,193,102,University of Kentucky,1926,Harlan,Kentucky
Howard Komives,185,83,Bowling Green State University,1941,Toledo,Ohio
Bud Koper,198,95,Oklahoma City University,1942,Rocky,Oklahoma
Barry Kramer,193,90,New York University,1942,Schenectady,New York
McCoy McLemore,201,104,Drake University,1942,Houston,Texas
Jeff Mullins,193,86,Duke University,1942,Astoria,New York
Cotton Nash,196,97,University of Kentucky,1942,Jersey City,New Jersey
Willis Reed*,206,106,Grambling State University,1942,Hico,Louisiana
Paul Silas,201,99,Creighton University,1943,Prescott,Arkansas
John Thompson*,208,102,Providence College,1941,Washington,District of Columbia
John Tresvant,201,97,Seattle University,1939,,
George Wilson,203,102,University of Cincinnati,1942,Meridian,Mississippi
Rick Barry*,201,92,University of Miami,1944,Elizabeth,New Jersey
Jesse Branson,201,88,Elon University,1942,Burlington,North Carolina
Bill Buntin,201,113,University of Michigan,1942,Detroit,Michigan
Barry Clemens,198,95,Ohio Wesleyan University,1943,Dayton,Ohio
Billy Cunningham*,198,95,University of North Carolina,1943,Brooklyn,New York
Keith Erickson,196,88,"University of California, Los Angeles",1944,San Francisco,California
John Fairchild,203,92,Brigham Young University,1943,Encinitas,California
Will Frazier,201,95,Grambling State University,1942,Minden,Louisiana
Gail Goodrich*,185,77,"University of California, Los Angeles",1943,Los Angeles,California
Fred Hetzel,203,99,Davidson College,1942,Washington,District of Columbia
Jon McGlocklin,196,92,Indiana University,1943,Franklin,Indiana
Thales McReynolds,190,83,Miles College,1943,Birmingham,Alabama
Ron Reed,196,92,University of Notre Dame,1942,La Porte,Indiana
Jerry Sloan*,196,88,University of Evansville,1942,McLeansboro,Illinois
Willie Somerset,173,77,Duquesne University,1942,Sharon,Pennsylvania
Dave Stallworth,201,90,Wichita State University,1941,Dallas,Texas
Joe Strawder,208,106,Bradley University,1940,Belle Glade,Florida
Dick Van,208,106,,1940,,
Tom Van,208,106,,1940,,
Bob Warlick,196,90,Pepperdine University,1941,Hickory,North Carolina
Jim Washington,198,95,Villanova University,1943,Philadelphia,Pennsylvania
Ron Watts,198,95,Wake Forest University,1943,,
Bob Weiss,188,81,Pennsylvania State University,1942,Easton,Pennsylvania
Henry Akin,208,102,Morehead State University,1944,Detroit,Michigan
Johnny Austin,183,77,Boston College,1944,Washington,District of Columbia
Jim Barnett,203,95,University of Texas at El Paso,1941,Tuckerman,Arkansas
Dave Bing*,190,81,Syracuse University,1943,Washington,District of Columbia
John Block,206,93,University of Southern California,1944,Los Angeles,California
Nate Bowman,208,104,Wichita State University,1943,Fort Worth,Texas
Jerry Chambers,196,83,University of Utah,1943,Washington,District of Columbia
Archie Clark,188,79,University of Minnesota,1941,Conway,Arkansas
Freddie Crawford,193,85,St. Bonaventure University,1941,New York,New York
Dave Deutsch,185,77,University of Rochester,1945,Brooklyn,New York
Joe Ellis,198,79,University of San Francisco,1944,,
Hank Finkel,213,108,University of Dayton,1942,Union City,New Jersey
Matt Guokas,190,88,Saint Joseph's University,1915,,
Bob Hogsett,201,104,University of Tennessee,1941,,
Lou Hudson,196,95,University of Minnesota,1944,Greensboro,North Carolina
Neil Johnson,203,95,Ohio State University,1929,Chillicothe,Ohio
Toby Kimball,198,99,University of Connecticut,1942,Framingham,Massachusetts
Tommy Kron,196,90,University of Kentucky,1943,,
Clyde Lee,208,92,Vanderbilt University,1944,Nashville,Tennessee
Bob Love,203,97,Southern University and A&M College,1942,Bastrop,Louisiana
Jack Marin,201,90,Duke University,1944,Sharon,Pennsylvania
Bill Melchionni,185,74,Villanova University,1944,Philadelphia,Pennsylvania
Wayne Molis,203,104,Lewis University,1943,Chicago,Illinois
Erwin Mueller,203,104,University of San Francisco,1944,,
Dorie Murrey,203,97,University of Detroit Mercy,1943,,
Flynn Robinson,185,83,University of Wyoming,1941,Elgin,Illinois
Cazzie Russell,196,98,University of Michigan,1944,Chicago,Illinois
Dave Schellhase,190,92,Purdue University,1944,Evansville,Indiana
Dick Snyder,196,93,Davidson College,1944,North Canton,Ohio
Jim Ware,201,95,Oklahoma City University,1944,Natchez,Mississippi
Walt Wesley,211,99,University of Kansas,1945,Fort Myers,Florida
Bud Acton,198,95,Hillsdale College,1942,,
Cliff Anderson,188,90,Saint Joseph's University,1944,,
Bill Bradley*,196,92,Princeton University,1943,Crystal City,Missouri
Tyrone Britt,193,86,Johnson C. Smith University,1944,,
Jim Burns,190,88,Northwestern University,1945,,
Jim Caldwell,208,108,Georgia Institute of Technology,1943,Durham,North Carolina
George Carter,193,95,St. Bonaventure University,1944,Buffalo,New York
Jim Davis,206,102,University of Colorado,1941,Muncie,Indiana
Bill Dinwiddie,201,99,New Mexico Highlands University,1943,,
Sonny Dove,201,89,St. John's University,1945,Brooklyn,New York
Ron Filipek,196,92,Tennessee Technological University,1944,,
Jim Fox,208,104,University of South Carolina,1943,Atlanta,Georgia
Walt Frazier*,193,90,Southern Illinois University,1945,Atlanta,Georgia
Mal Graham,185,83,New York University,1945,,
Gary Gray,185,83,Oklahoma City University,1945,,
Dennis Hamilton,203,95,Arizona State University,1944,Huntington Beach,California
Clem Haskins,190,88,Western Kentucky University,1943,Campbellsville,Kentucky
Al Jackson,185,83,Wilberforce University,1943,Cleveland,Ohio
Phil Jackson*,203,99,University of North Dakota,1945,Deer Lodge,Montana
Johnny Jones,201,92,"California State University, Los Angeles",1943,Washington,District of Columbia
Nick Jones,188,86,University of Oregon,1945,,
Dave Lattin,198,102,University of Texas at El Paso,1943,Houston,Texas
George Lehmann,183,81,Campbell University,1942,Riverside,New Jersey
Bobby Lewis,190,79,University of North Carolina,1945,,
Paul Long,188,81,Wake Forest University,1944,Louisville,Kentucky
Plummer Lott,196,95,Seattle University,1945,,
Ed Manning,201,95,Jackson State University,1944,Summit,Mississippi
